Starting audit...
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\cea5f8c5-9b1f-4d72-ab19-3e18451a9efe\generatedProgram1OfVersion1_0.java:1: Missing package-info.java file. [JavadocPackage]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\cea5f8c5-9b1f-4d72-ab19-3e18451a9efe\generatedProgram1OfVersion1_0.java:1:8: Unused import - java.util.Arrays. [UnusedImports]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\cea5f8c5-9b1f-4d72-ab19-3e18451a9efe\generatedProgram1OfVersion1_0.java:3:1: Utility classes should not have a public or default constructor. [HideUtilityClassConstructor]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\cea5f8c5-9b1f-4d72-ab19-3e18451a9efe\generatedProgram1OfVersion1_0.java:5:5: Missing a Javadoc comment. [MissingJavadocMethod]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\cea5f8c5-9b1f-4d72-ab19-3e18451a9efe\generatedProgram1OfVersion1_0.java:8:42: '6' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\cea5f8c5-9b1f-4d72-ab19-3e18451a9efe\generatedProgram1OfVersion1_0.java:8:45: '20' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\cea5f8c5-9b1f-4d72-ab19-3e18451a9efe\generatedProgram1OfVersion1_0.java:8:49: '7' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\cea5f8c5-9b1f-4d72-ab19-3e18451a9efe\generatedProgram1OfVersion1_0.java:8:52: '8' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\cea5f8c5-9b1f-4d72-ab19-3e18451a9efe\generatedProgram1OfVersion1_0.java:8:55: '20' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\cea5f8c5-9b1f-4d72-ab19-3e18451a9efe\generatedProgram1OfVersion1_0.java:8:59: '9' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\cea5f8c5-9b1f-4d72-ab19-3e18451a9efe\generatedProgram1OfVersion1_0.java:8:62: '10' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\cea5f8c5-9b1f-4d72-ab19-3e18451a9efe\generatedProgram1OfVersion1_0.java:9:29: '3' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\cea5f8c5-9b1f-4d72-ab19-3e18451a9efe\generatedProgram1OfVersion1_0.java:9:32: '4' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\cea5f8c5-9b1f-4d72-ab19-3e18451a9efe\generatedProgram1OfVersion1_0.java:9:35: '5' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\cea5f8c5-9b1f-4d72-ab19-3e18451a9efe\generatedProgram1OfVersion1_0.java:9:38: '20' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\cea5f8c5-9b1f-4d72-ab19-3e18451a9efe\generatedProgram1OfVersion1_0.java:9:42: '20' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\cea5f8c5-9b1f-4d72-ab19-3e18451a9efe\generatedProgram1OfVersion1_0.java:9:46: '6' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\cea5f8c5-9b1f-4d72-ab19-3e18451a9efe\generatedProgram1OfVersion1_0.java:9:49: '7' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\cea5f8c5-9b1f-4d72-ab19-3e18451a9efe\generatedProgram1OfVersion1_0.java:9:52: '8' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\cea5f8c5-9b1f-4d72-ab19-3e18451a9efe\generatedProgram1OfVersion1_0.java:9:55: '9' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\cea5f8c5-9b1f-4d72-ab19-3e18451a9efe\generatedProgram1OfVersion1_0.java:9:58: '10' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\cea5f8c5-9b1f-4d72-ab19-3e18451a9efe\generatedProgram1OfVersion1_0.java:10:29: '3' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\cea5f8c5-9b1f-4d72-ab19-3e18451a9efe\generatedProgram1OfVersion1_0.java:10:32: '4' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\cea5f8c5-9b1f-4d72-ab19-3e18451a9efe\generatedProgram1OfVersion1_0.java:10:35: '5' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\cea5f8c5-9b1f-4d72-ab19-3e18451a9efe\generatedProgram1OfVersion1_0.java:11:23: '20' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\cea5f8c5-9b1f-4d72-ab19-3e18451a9efe\generatedProgram1OfVersion1_0.java:11:27: '20' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\cea5f8c5-9b1f-4d72-ab19-3e18451a9efe\generatedProgram1OfVersion1_0.java:11:31: '20' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\cea5f8c5-9b1f-4d72-ab19-3e18451a9efe\generatedProgram1OfVersion1_0.java:37:5: Missing a Javadoc comment. [MissingJavadocMethod]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\cea5f8c5-9b1f-4d72-ab19-3e18451a9efe\generatedProgram1OfVersion1_0.java:37:66: Parameter arr should be final. [FinalParameters]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\cea5f8c5-9b1f-4d72-ab19-3e18451a9efe\generatedProgram1OfVersion1_0.java:40:27: '20' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\cea5f8c5-9b1f-4d72-ab19-3e18451a9efe\generatedProgram1OfVersion1_0.java:42:57: '20' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\cea5f8c5-9b1f-4d72-ab19-3e18451a9efe\generatedProgram1OfVersion1_0.java:47:25: '3' is a magic number. [MagicNumber]
Audit done.
