Starting audit...
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\61bca582-3f97-4d4d-aaab-c2a8054cbdb1\generatedProgram1OfVersion1_0.java:1: Missing package-info.java file. [JavadocPackage]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\61bca582-3f97-4d4d-aaab-c2a8054cbdb1\generatedProgram1OfVersion1_0.java:3:1: Utility classes should not have a public or default constructor. [HideUtilityClassConstructor]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\61bca582-3f97-4d4d-aaab-c2a8054cbdb1\generatedProgram1OfVersion1_0.java:5:5: Missing a Javadoc comment. [MissingJavadocMethod]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\61bca582-3f97-4d4d-aaab-c2a8054cbdb1\generatedProgram1OfVersion1_0.java:14:31: '-3' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\61bca582-3f97-4d4d-aaab-c2a8054cbdb1\generatedProgram1OfVersion1_0.java:14:35: '-4' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\61bca582-3f97-4d4d-aaab-c2a8054cbdb1\generatedProgram1OfVersion1_0.java:14:39: '-5' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\61bca582-3f97-4d4d-aaab-c2a8054cbdb1\generatedProgram1OfVersion1_0.java:18:23: '-2' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\61bca582-3f97-4d4d-aaab-c2a8054cbdb1\generatedProgram1OfVersion1_0.java:18:31: '-3' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\61bca582-3f97-4d4d-aaab-c2a8054cbdb1\generatedProgram1OfVersion1_0.java:18:35: '-4' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\61bca582-3f97-4d4d-aaab-c2a8054cbdb1\generatedProgram1OfVersion1_0.java:18:39: '-5' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\61bca582-3f97-4d4d-aaab-c2a8054cbdb1\generatedProgram1OfVersion1_0.java:18:43: '-6' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\61bca582-3f97-4d4d-aaab-c2a8054cbdb1\generatedProgram1OfVersion1_0.java:22:29: '3' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\61bca582-3f97-4d4d-aaab-c2a8054cbdb1\generatedProgram1OfVersion1_0.java:22:32: '4' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\61bca582-3f97-4d4d-aaab-c2a8054cbdb1\generatedProgram1OfVersion1_0.java:22:35: '5' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\61bca582-3f97-4d4d-aaab-c2a8054cbdb1\generatedProgram1OfVersion1_0.java:22:38: '6' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\61bca582-3f97-4d4d-aaab-c2a8054cbdb1\generatedProgram1OfVersion1_0.java:26:29: '3' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\61bca582-3f97-4d4d-aaab-c2a8054cbdb1\generatedProgram1OfVersion1_0.java:26:32: '4' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\61bca582-3f97-4d4d-aaab-c2a8054cbdb1\generatedProgram1OfVersion1_0.java:26:35: '5' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\61bca582-3f97-4d4d-aaab-c2a8054cbdb1\generatedProgram1OfVersion1_0.java:26:38: '6' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\61bca582-3f97-4d4d-aaab-c2a8054cbdb1\generatedProgram1OfVersion1_0.java:26:41: '7' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\61bca582-3f97-4d4d-aaab-c2a8054cbdb1\generatedProgram1OfVersion1_0.java:31:5: Missing a Javadoc comment. [MissingJavadocMethod]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\61bca582-3f97-4d4d-aaab-c2a8054cbdb1\generatedProgram1OfVersion1_0.java:31:53: Parameter arr should be final. [FinalParameters]
Audit done.
