Starting audit...
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_Array\6e1406b0-f526-4cf2-9a7c-2a63e5395fc2\generatedProgram1OfVersion1_0.java:1: Missing package-info.java file. [JavadocPackage]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_Array\6e1406b0-f526-4cf2-9a7c-2a63e5395fc2\generatedProgram1OfVersion1_0.java:1:17: Using the '.*' form of import should be avoided - java.util.*. [AvoidStarImport]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_Array\6e1406b0-f526-4cf2-9a7c-2a63e5395fc2\generatedProgram1OfVersion1_0.java:3:1: Utility classes should not have a public or default constructor. [HideUtilityClassConstructor]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_Array\6e1406b0-f526-4cf2-9a7c-2a63e5395fc2\generatedProgram1OfVersion1_0.java:5:5: Missing a Javadoc comment. [MissingJavadocMethod]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_Array\6e1406b0-f526-4cf2-9a7c-2a63e5395fc2\generatedProgram1OfVersion1_0.java:19:29: '3' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_Array\6e1406b0-f526-4cf2-9a7c-2a63e5395fc2\generatedProgram1OfVersion1_0.java:19:32: '10' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_Array\6e1406b0-f526-4cf2-9a7c-2a63e5395fc2\generatedProgram1OfVersion1_0.java:19:36: '5' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_Array\6e1406b0-f526-4cf2-9a7c-2a63e5395fc2\generatedProgram1OfVersion1_0.java:19:39: '10' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_Array\6e1406b0-f526-4cf2-9a7c-2a63e5395fc2\generatedProgram1OfVersion1_0.java:19:43: '4' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_Array\6e1406b0-f526-4cf2-9a7c-2a63e5395fc2\generatedProgram1OfVersion1_0.java:19:46: '5' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_Array\6e1406b0-f526-4cf2-9a7c-2a63e5395fc2\generatedProgram1OfVersion1_0.java:19:49: '6' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_Array\6e1406b0-f526-4cf2-9a7c-2a63e5395fc2\generatedProgram1OfVersion1_0.java:19:52: '7' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_Array\6e1406b0-f526-4cf2-9a7c-2a63e5395fc2\generatedProgram1OfVersion1_0.java:25:23: '10' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_Array\6e1406b0-f526-4cf2-9a7c-2a63e5395fc2\generatedProgram1OfVersion1_0.java:25:27: '10' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_Array\6e1406b0-f526-4cf2-9a7c-2a63e5395fc2\generatedProgram1OfVersion1_0.java:25:31: '10' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_Array\6e1406b0-f526-4cf2-9a7c-2a63e5395fc2\generatedProgram1OfVersion1_0.java:28:23: '10' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_Array\6e1406b0-f526-4cf2-9a7c-2a63e5395fc2\generatedProgram1OfVersion1_0.java:28:27: '20' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_Array\6e1406b0-f526-4cf2-9a7c-2a63e5395fc2\generatedProgram1OfVersion1_0.java:28:31: '30' is a magic number. [MagicNumber]
Audit done.
