Starting audit...
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:1: Missing package-info.java file. [JavadocPackage]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:1:8: Unused import - java.util.Arrays. [UnusedImports]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:3:1: Utility classes should not have a public or default constructor. [HideUtilityClassConstructor]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:5:5: Missing a Javadoc comment. [MissingJavadocMethod]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:15:32: '4' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:15:35: '5' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:15:38: '6' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:15:41: '7' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:15:44: '8' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:15:47: '9' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:23:29: '3' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:23:32: '4' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:23:35: '10' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:23:39: '6' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:23:42: '7' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:23:45: '8' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:23:48: '9' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:23:51: '30' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:27:29: '3' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:27:32: '4' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:27:35: '10' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:27:39: '6' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:27:42: '7' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:27:45: '8' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:27:48: '9' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:27:51: '10' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:27:55: '30' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:31:27: '-2' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:31:31: '-3' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:31:35: '-4' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:31:39: '-10' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:31:44: '-6' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:31:48: '-7' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:31:52: '-8' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:31:56: '-9' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:35:29: '3' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:35:32: '4' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:35:35: '10' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:35:39: '6' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:35:42: '7' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:35:45: '8' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:35:48: '9' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:35:51: '10' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:39:5: Missing a Javadoc comment. [MissingJavadocMethod]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:39:42: Parameter arr should be final. [FinalParameters]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:41:27: '10' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\e6b9f063-fe1c-4226-9611-bd814327e8f3\generatedProgram1OfVersion1_0.java:41:43: '30' is a magic number. [MagicNumber]
Audit done.
