Starting audit...
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\813ed0b2-e965-4a1c-8282-b8ced84791ae\generatedProgram1OfVersion1_0.java:1: Missing package-info.java file. [JavadocPackage]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\813ed0b2-e965-4a1c-8282-b8ced84791ae\generatedProgram1OfVersion1_0.java:1:17: Using the '.*' form of import should be avoided - java.util.*. [AvoidStarImport]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\813ed0b2-e965-4a1c-8282-b8ced84791ae\generatedProgram1OfVersion1_0.java:3:1: Utility classes should not have a public or default constructor. [HideUtilityClassConstructor]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\813ed0b2-e965-4a1c-8282-b8ced84791ae\generatedProgram1OfVersion1_0.java:5:5: Missing a Javadoc comment. [MissingJavadocMethod]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\813ed0b2-e965-4a1c-8282-b8ced84791ae\generatedProgram1OfVersion1_0.java:56:47: '8' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\813ed0b2-e965-4a1c-8282-b8ced84791ae\generatedProgram1OfVersion1_0.java:57:17: '3' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\813ed0b2-e965-4a1c-8282-b8ced84791ae\generatedProgram1OfVersion1_0.java:61:32: '3' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\813ed0b2-e965-4a1c-8282-b8ced84791ae\generatedProgram1OfVersion1_0.java:61:35: '4' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\813ed0b2-e965-4a1c-8282-b8ced84791ae\generatedProgram1OfVersion1_0.java:61:38: '5' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\813ed0b2-e965-4a1c-8282-b8ced84791ae\generatedProgram1OfVersion1_0.java:61:41: '6' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\813ed0b2-e965-4a1c-8282-b8ced84791ae\generatedProgram1OfVersion1_0.java:61:44: '7' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\813ed0b2-e965-4a1c-8282-b8ced84791ae\generatedProgram1OfVersion1_0.java:61:47: '8' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\813ed0b2-e965-4a1c-8282-b8ced84791ae\generatedProgram1OfVersion1_0.java:61:50: '9' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\813ed0b2-e965-4a1c-8282-b8ced84791ae\generatedProgram1OfVersion1_0.java:61:53: '10' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\813ed0b2-e965-4a1c-8282-b8ced84791ae\generatedProgram1OfVersion1_0.java:62:13: '4' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\813ed0b2-e965-4a1c-8282-b8ced84791ae\generatedProgram1OfVersion1_0.java:66:32: '3' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\813ed0b2-e965-4a1c-8282-b8ced84791ae\generatedProgram1OfVersion1_0.java:66:35: '4' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\813ed0b2-e965-4a1c-8282-b8ced84791ae\generatedProgram1OfVersion1_0.java:66:38: '5' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\813ed0b2-e965-4a1c-8282-b8ced84791ae\generatedProgram1OfVersion1_0.java:66:41: '6' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\813ed0b2-e965-4a1c-8282-b8ced84791ae\generatedProgram1OfVersion1_0.java:66:44: '7' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\813ed0b2-e965-4a1c-8282-b8ced84791ae\generatedProgram1OfVersion1_0.java:66:47: '8' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\813ed0b2-e965-4a1c-8282-b8ced84791ae\generatedProgram1OfVersion1_0.java:66:50: '8' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\813ed0b2-e965-4a1c-8282-b8ced84791ae\generatedProgram1OfVersion1_0.java:71:32: '3' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\813ed0b2-e965-4a1c-8282-b8ced84791ae\generatedProgram1OfVersion1_0.java:71:35: '4' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\813ed0b2-e965-4a1c-8282-b8ced84791ae\generatedProgram1OfVersion1_0.java:71:38: '5' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\813ed0b2-e965-4a1c-8282-b8ced84791ae\generatedProgram1OfVersion1_0.java:71:41: '6' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\813ed0b2-e965-4a1c-8282-b8ced84791ae\generatedProgram1OfVersion1_0.java:71:44: '7' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\813ed0b2-e965-4a1c-8282-b8ced84791ae\generatedProgram1OfVersion1_0.java:71:47: '8' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\813ed0b2-e965-4a1c-8282-b8ced84791ae\generatedProgram1OfVersion1_0.java:71:50: '8' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\813ed0b2-e965-4a1c-8282-b8ced84791ae\generatedProgram1OfVersion1_0.java:72:13: '8' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\813ed0b2-e965-4a1c-8282-b8ced84791ae\generatedProgram1OfVersion1_0.java:76:32: '3' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\813ed0b2-e965-4a1c-8282-b8ced84791ae\generatedProgram1OfVersion1_0.java:76:35: '4' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\813ed0b2-e965-4a1c-8282-b8ced84791ae\generatedProgram1OfVersion1_0.java:76:38: '5' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\813ed0b2-e965-4a1c-8282-b8ced84791ae\generatedProgram1OfVersion1_0.java:76:41: '6' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\813ed0b2-e965-4a1c-8282-b8ced84791ae\generatedProgram1OfVersion1_0.java:76:44: '7' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\813ed0b2-e965-4a1c-8282-b8ced84791ae\generatedProgram1OfVersion1_0.java:76:47: '8' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\813ed0b2-e965-4a1c-8282-b8ced84791ae\generatedProgram1OfVersion1_0.java:76:50: '8' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\813ed0b2-e965-4a1c-8282-b8ced84791ae\generatedProgram1OfVersion1_0.java:77:13: '9' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\813ed0b2-e965-4a1c-8282-b8ced84791ae\generatedProgram1OfVersion1_0.java:81:32: '3' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\813ed0b2-e965-4a1c-8282-b8ced84791ae\generatedProgram1OfVersion1_0.java:81:35: '4' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\813ed0b2-e965-4a1c-8282-b8ced84791ae\generatedProgram1OfVersion1_0.java:81:38: '5' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\813ed0b2-e965-4a1c-8282-b8ced84791ae\generatedProgram1OfVersion1_0.java:81:41: '6' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\813ed0b2-e965-4a1c-8282-b8ced84791ae\generatedProgram1OfVersion1_0.java:81:44: '7' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\813ed0b2-e965-4a1c-8282-b8ced84791ae\generatedProgram1OfVersion1_0.java:81:47: '8' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\813ed0b2-e965-4a1c-8282-b8ced84791ae\generatedProgram1OfVersion1_0.java:81:50: '8' is a magic number. [MagicNumber]
[ERROR] C:\Users\debal\OneDrive\Desktop\PhD folder\ChatGPT_generated_programs\GeminiPro_W3Resources_BasicExercise\813ed0b2-e965-4a1c-8282-b8ced84791ae\generatedProgram1OfVersion1_0.java:82:13: '10' is a magic number. [MagicNumber]
Audit done.
